input,label,output
"All people should obey the rules of the road, but what we really need to discuss is the decline in respect for authorities.",5,fallacy of relevance
"John claims that all people should obey the rules of the road. But John has received several speeding tickets in the past. Therefore, it's not necessary to obey the rules of the road.",6,ad hominem
"Think about the grieving mother who lost her child in a tragic accident. It's absolutely heart-wrenching. You don't want to cause such sorrow, so you must obey the rules of the road.",7,appeal to emotion
"Person A: All people should obey the rules of the road.   Person B: So you think everyone should follow every single rule without question or deviation?   This may might create robots, not humans.   Therefore, the idea of obeying all road rules is absurd.",8,fallacy of extension
"The National Highway Traffic Safety Administration claims that all people should obey the rules of the road. Given that they are experts on road safety, therefore, everyone should obey the rules of the road.",9,fallacy of credibility
"There are no reports stating that someone had issues not obeying the road rules; hence, all people should obey the rules of the road.",10,intentional fallacy
"If all people obey the rules of the road, then there will be no accidents. There are no accidents. Therefore, all people obey the rules of the road.",11,deductive fallacy
"All plants need nutrients, so plants need everything.",0,faulty generalization
My plant died after I forgot to fertilize it last week. Obviously the lack of nutrients killed it.,1,false causality
Plants require nutrients because nutrients are a requirement for all plants.,2,circular reasoning
"A lot of people believe that all plants need nutrients. Therefore, this statement must be true.",3,ad populum
"""All plants either require nutrients to survive or succumb to inevitable death.""",4,false dilemma
"All plants need nutrients, but we should deplete our global fossil fuel reserves before worrying about plant health.",5,fallacy of relevance
"Bob is claiming that all plants need nutrients. But Bob is a high school dropout. Therefore, his claim is not true.",6,ad hominem
"Think of how sad and lifeless a plant would get if you deny it of nutrients. It could die, and you wouldn't want that, would you?",7,appeal to emotion
"Scientist A: All plants need nutrients. Scientist B: So you're saying plants can't survive without a constant injection of vitamins and minerals, like a patient in a hospital?",8,fallacy of extension
"The most famous scientist disagree that plants need nutrients, so this idea must be not correct.",9,fallacy of credibility
"Nobody can prove plants don't require nutrients; hence, it's a fact that all plants need nutrients.",10,intentional fallacy
"If all plants require nutrients, then all organisms require nutrients. All organisms require nutrients. Hence, all plants require nutrients.",11,deductive fallacy
"Most museums will be closed on Mondays. Museums are a type of cultural institution. Therefore, all cultural institutions will be closed on Mondays.",0,faulty generalization
"Most museums are closed on Mondays, therefore Mondays cause museums to close.",1,false causality
Most museums will be closed on Mondays because on Mondays most museums are closed.,2,circular reasoning
"Many people believe most museums will be closed on Mondays, therefore it's a fact.",3,ad populum
"""Most museums will be closed on Mondays either due to low visitor turnout, or due to their disregard for public interest.""",4,false dilemma
"Most museums will be closed on Mondays, but we should focus more on the fact that libraries are not open 24/7.",5,fallacy of relevance
"John states that most museums will be closed on Mondays, but we shouldn't believe this, after all, John is a drop-out.",6,ad hominem
Can't you see the sadness in the eyes of those children when they're told that they can't visit the museum on Monday because it's closed? This is why all museums should stay open on Mondays.,7,appeal to emotion
Person A: Most museums will be closed on Mondays. Person B: So you're saying that museums just completely abandon their responsibilities on the first day of the week?,8,fallacy of extension
"Renowned Museum curators disagree the claim that most museums will be closed on Mondays. Being experts in the field of museum operations, their words should be believed.",9,fallacy of credibility
"There hasn't been any evidence of a museum open on a Monday, so it must be true that most museums are closed.",10,intentional fallacy
"Given that most museums will be closed if it is Monday, and that majority of the museums are indeed closed, we can only conclude that today is Monday.",11,deductive fallacy
"Some students do not take their studies seriously. These students are part of our city's school district. Therefore, no students in our city's school district take their studies seriously.",0,faulty generalization
"Sometimes, some students do not study seriously and they fail their tests. Clearly, their failure must be caused by being not serious.",1,false causality
Some students are not serious about their studies because they do not focus on their studies.,2,circular reasoning
"Many people believe that some students do not take their studies seriously, therefore this must be a universal truth.",3,ad populum
"""Some students who do not take their studies seriously may be deemed as lazy, or it may be interpreted that they are bound to face failure in their future careers.""",4,false dilemma
"Some students do not take their studies seriously, which begs the question, why is internet access so expensive?",5,fallacy of relevance
"Lisa says that some students don't take their studies seriously, and that's entirely because she's making excuses for her own laziness.",6,ad hominem
It's heart-wrenching to think about students who have vested so many years and so much time into their studies only to take it all for granted. Think about the waste of potential that is happening when students do not take their studies seriously.,7,appeal to emotion
Teacher A: Some students do not take their studies seriously. Teacher B: So you're suggesting that none of our students care about their future?,8,fallacy of extension
"Professor Wilson, who has been teaching for 30 years, says that some students do not take their studies seriously. Therefore, it must be true.",9,fallacy of credibility
"No one can be sure that all students take their studies seriously, so there must be some who do not.",10,intentional fallacy
"If some students do not take their studies seriously, failure is inevitable. Some students take their studies seriously, and those students are not destined to fail.",11,deductive fallacy
"My pet cat doesn't like water. She is a member of the cat species. Therefore, all cats don't like water.",0,faulty generalization
"Most cats don't like water, so water can be harmful to cats.",1,false causality
Most cats are hydrophobic because most cats don't like water.,2,circular reasoning
"Most people think that cats don't like water, therefore it must be true.",3,ad populum
"""The majority of cats either detest water or lack the necessary skills to swim.""",4,false dilemma
"Most cats don't like water, although it would be more relevant to look into the negative impact of industrial waste on marine life.",5,fallacy of relevance
"John says most cats don't like water. But John dropped out of high school, so his claim is likely not true.",6,ad hominem
"You've got to believe me when I say that most cats don't like water. Doesn't the image of a scared, wet kitten just break your heart?",7,appeal to emotion
Person A: Most cats don't like water. Person B: So you're saying that all cats are afraid of any liquid?,8,fallacy of extension
"Vets and cat specialists claim that most cats don't like water. As they are the experts, their claims should be believed.",9,fallacy of credibility
"Since there is no evidence that cats like water, that would suggest that most cats don't like water.",10,intentional fallacy
"If the animal is fond of water, it can't be a cat. This creature dislikes water. So, this must be a cat.",11,deductive fallacy
"A portion of the inhabitants of this city have a fever. These inhabitants are a part of the population. Therefore, all of the population of this city have a fever.",0,faulty generalization
"A portion of the inhabitants of this city have a fever, implying that the city environment is causing the fever.",1,false causality
A portion of the inhabitants of this city have a fever because some citizens in this city have a fever.,2,circular reasoning
"A large number of the city's inhabitants have a fever, thus it must mean there is an epidemic.",3,ad populum
"""Either a segment of the city's population is suffering from a fever due to a lethal outbreak, or the healthcare structures of the city have collapsed.""",4,false dilemma
"A portion of the inhabitants of this city have a fever, but have you considered the high unemployment rate?",5,fallacy of relevance
"The health department, which has a high rate of corruption, claims that a portion of the city's population has a fever. They are simply not credible.",6,ad hominem
"It is so difficult and heartbreaking to think about the children and elderly people in this city who are suffering from fever. Therefore, all must help them.",7,appeal to emotion
"Person 1: A portion of the inhabitants of this city have a fever. Person 2: So what you're saying is, the entire city is sick and contagious?",8,fallacy of extension
"A portion of the inhabitants of this city suffer from fever, and the doctor told me it was true, so it must be true.",9,fallacy of credibility
"Since there is no way to prove that the entire city is healthy, there must be a portion of the inhabitants of this city have a fever.",10,intentional fallacy
"If some of the residents of this city have a fever, then they must have been infected with COVID-19. A few people have been infected with COVID-19, so they must be showing symptoms of fever.",11,deductive fallacy
"Sarah has two cats in her apartment. Sarah lives in an apartment building. Therefore, everyone in her apartment building has two cats.",0,faulty generalization
"Sarah has two cats in her apartment and she has allergies. Thus, it's the cats causing her allergies.",1,false causality
Sarah has two cats because there are two cats in her apartment.,2,circular reasoning
"Many people believe that Sarah has two cats in her apartment, so it must be true.",3,ad populum
"""Sarah must either be a crazy cat lady with two cats in her apartment, or she's surely suffering from extreme loneliness.""",4,false dilemma
"Sarah has two cats in her apartment, but she should really be worried about the global population of endangered animals.",5,fallacy of relevance
"Sarah is a cat hoarder, so we shouldn't believe her claim of having only two cats in her apartment.",6,ad hominem
"Sarah's two cats must be suffering in her apartment. Think about how lonely and sad those poor animals must feel, cooped up all day without proper care.",7,appeal to emotion
Speaker 1: Sarah has two cats in her apartment. Speaker 2: So you're saying she's hoarding animals like a crazy cat lady?,8,fallacy of extension
"Sarah, a well-known animal lover, has two cats in her apartment. She said cats are not worth keeping. Therefore, owning cats must be a burden.",9,fallacy of credibility
"Because no one has seen more than two cats in Sarah's apartment, it means she only has two cats.",10,intentional fallacy
"If Sarah had an animal, it would be a cat or a dog. She has two cats in her apartment, so she doesn't have a dog.",11,deductive fallacy
"Bob painted his house green. Bob is a homeowner. Therefore, all homeowners paint their houses green.",0,faulty generalization
"Bob painted his house green and the grass grew extra fast that year. Surely, it's because Bob painted his house green.",1,false causality
Bob's house is green because Bob painted his house green.,2,circular reasoning
"Most think Bob colored his dwelling green, thus it is without doubt a fact.",3,ad populum
"""Bob's green house was either painted that way due to his preference for the color, or he intended it as his personal message about ecological preservation.""",4,false dilemma
"Bob painted his house green, though the importance lies in addressing the decline of green spaces in cities.",5,fallacy of relevance
"Bob painted his house green? Well, we can't possibly take his taste seriously, he was always a terrible dresser. His opinion on colors must be flawed.",6,ad hominem
"Isn't it wonderful that Bob has chosen green to repaint his house? It certainly makes it stand out in our neighborhood, evoking a feeling of freshness. He must have had a very good reason for choosing it.",7,appeal to emotion
Alice: Bob painted his house green. Carol: So you're saying Bob's house is now like a massive jungle? That's ridiculous!,8,fallacy of extension
"Bob, a renowned architectural designer, painted his house green. Therefore, painting houses green must be the most aesthetically pleasing.",9,fallacy of credibility
"You can't prove that Bob didn't paint his house some other color at first, so he must have painted it green.",10,intentional fallacy
"If Bob uses environmentally unfriendly paint, his house will become green. Bob's house is indeed green. Consequently, Bob used environmentally unfriendly paint.",11,deductive fallacy
"Mary studied French in high school. Mary is an American. Therefore, all Americans studied French in high school.",0,faulty generalization
"Mary studied French in high school and now she has a job in France. Therefore, having studied French in high school got her the job in France.",1,false causality
Mary is proficient in French because she studied French in high school. She studied French in high school because she is proficient in French.,2,circular reasoning
"Many are aware that Mary studied French in high school, which certainly implies she should have become fluent in the language.",3,ad populum
"""Either Mary was studying French in high school due to her dreams of residing in France, or she was in love with a French person.""",4,false dilemma
"Mary studied French in high school, but we should really focus on the decline in public school funding.",5,fallacy of relevance
"Mary claims she studied French in high school, but she is an infamous liar, so she must be lying about that too.",6,ad hominem
Did you know that Mary studied French in high school? She would always talk about how beautiful Paris is and her dreams of living there. She wouldn't have done that if she wasn't proficient in the language.,7,appeal to emotion
"John: Mary studied French in high school. Susan: Oh, so you're saying Mary was in France studying all of her high school years? That's simply not true!",8,fallacy of extension
"Mary, who studied French in high school, claims that the French language is the most romantic one. As she has studied it before, her opinion should be believed.",9,fallacy of credibility
"Mary studied French in high school, so she must be fluent in French as nobody has proven otherwise.",10,intentional fallacy
"If Mary took French classes in high school, then she must be fluent in French. Mary is fluent in French. Therefore, she took French in high school.",11,deductive fallacy
"I watched the sunset from my balcony, and it was a beautiful sight. My balcony is in my city, therefore every sunset in my city is beautiful.",0,faulty generalization
"I watched the sunset from my balcony. Therefore, my presence in the balcony caused the sunset.",1,false causality
I saw the sun go down because I watched the sunset from my balcony.,2,circular reasoning
"Many people agree that I watched the sunset from my balcony, therefore it must be true.",3,ad populum
"""Either I am a loner who watched the sunset from my balcony, or I watched the sunset from my balcony because I'm steering clear of crowded spots.""",4,false dilemma
"I watched the sunset from my balcony, yet people ignore the serious issues of light pollution in urban areas.",5,fallacy of relevance
"John claims he watched the sunset from his balcony. John is gullible. Therefore, watching the sunset from his balcony is not true.",6,ad hominem
"I can't possibly express how mesmerizing it was watching the sunset from my balcony. You really should start enjoying the sunset from my balcony too, it was so beautiful it almost moved me to tears.",7,appeal to emotion
Sam: I watched the sunset from my balcony. Dane: So you're implying that standing on balconies gives you some magical power to command the sun?,8,fallacy of extension
"I watched the sunset from my balcony. As an experienced traveller, you can always trust my taste for good views.",9,fallacy of credibility
"I saw the sunset from my balcony, and since no one can prove otherwise. She accepted my statement",10,intentional fallacy
"If I saw the sunset, then it must have been from the balcony. I was on the balcony, so I must have seen the sunset.",11,deductive fallacy
"Michael had dinner at an Italian restaurant. Michael is a vegetarian. Therefore, all Italian restaurants offer vegetarian dishes.",0,faulty generalization
Michael had dinner at an Italian restaurant last night and now he's feeling unwell. It must be the Italian food that caused his sickness.,1,false causality
Michael dined at Gino's because that is his favorite Italian restaurant. Gino's is his favorite because that's where he dines.,2,circular reasoning
"Many people think Michael had dinner at an Italian restaurant, thus it is true.",3,ad populum
"""Either Michael dined at an Italian eatery due to his Italian heritage, or he did so because he has an affinity for Italian food.""",4,false dilemma
"Michael had dinner at an Italian restaurant, yet we should be focusing on cutting down food waste rather than where one decides to eat.",5,fallacy of relevance
"Michael claims he knows about authentic Italian cuisine because he had dinner at an Italian restaurant. But he's really just an ignorant glutton, so his opinion isn't valid.",6,ad hominem
"Michael, you must remember the magical night when you had dinner at that quaint Italian restaurant. Every mouthful of the lasagna was like a loving hug from Nonna. How can you simply forget about such a wonderful experience?",7,appeal to emotion
Person A: Michael had dinner at an Italian restaurant. Person B: So you're accusing Michael of having an unhealthy obsession with pizza and pasta?,8,fallacy of extension
"Michael, an exceptional cook, had dinner at an Italian restaurant. He praised their lasagna, so it must be the best in town.",9,fallacy of credibility
"Michael didn't provide any proof that he didn't have dinner at an Italian restaurant, so he must have had it there.",10,intentional fallacy
"If Michael dined in Italy, he must have eaten Italian cuisine. Michael had his meal at an Italian eatery. Thus, Michael was located in Italy.",11,deductive fallacy
"Jack lost his wallet at the concert. Jack is a concert-goer. Therefore, all concert-goers lose their wallets at concerts.",0,faulty generalization
"Jack lost his wallet after attending the concert. Therefore, the concert was the cause of his lost wallet.",1,false causality
Jack is careless because he lost his wallet at the concert. He lost his wallet because he is careless.,2,circular reasoning
"Most people believe that Jack lost his wallet at the concert, therefore it is a fact that Jack lost his wallet at the concert.",3,ad populum
"""Jack either misplaced his wallet due to his carelessness at the concert, or someone stole it from him.""",4,false dilemma
"Jack lost his wallet at the concert, but what we need to think about is how many wallets are stolen worldwide every day.",5,fallacy of relevance
"Jack can't possibly have a valid opinion on financial matters, he lost his wallet at a concert.",6,ad hominem
"Jack had his wallet stolen at the concert, think about how desperate and helpless Jack is now, how can we not help him?",7,appeal to emotion
"Thomas: Jack lost his wallet at the concert. Lydia: So you're saying Jack is a loser? Thomas, that's severe judgment right there!",8,fallacy of extension
"Jack, who has a flawless memory and superior attention to detail, said he lost his wallet at the concert, so it must be true.",9,fallacy of credibility
"No one has found Jack's wallet, so it must have been lost at the concert.",10,intentional fallacy
"If jack went to the concert, then he would have lost his wallet. Jack did lose his wallet, therefore, he went to the concert.",11,deductive fallacy
"Sam is a member of the board. Sam did not attend the meeting. Therefore, no members of the board attended the meeting.",0,faulty generalization
"Sam did not attend the meeting and the meeting was boring. Clearly, Sam's absence made the meeting boring.",1,false causality
Sam was absent because he did not attend the meeting.,2,circular reasoning
"Many affirm that Sam did not attend the meeting, therefore we can conclude that indeed he didn't.",3,ad populum
"""Sam didn't show up at the meeting. This suggests he either lacks interest in the meeting's subject, or perhaps he's been let go.""",4,false dilemma
"Sam did not attend the meeting, but what is more important is the fact that he is a top performer in sales.",5,fallacy of relevance
Sam doesn't attend meetings; he's been lazy and unreliable. Why should we consider his opinion on this topic?,6,ad hominem
"Sam was absent from the meeting, which is very unfortunate. He lost his mother recently, and we should all be understanding and give him space to grieve.",7,appeal to emotion
John: Sam did not attend the meeting. Mike: So you're saying Sam is completely irresponsible and doesn't care about our project?,8,fallacy of extension
"Since Sam is the CEO of the company, his decision not to attend the meeting must have been the right one.",9,fallacy of credibility
"Since nobody saw Sam attending the meeting, we can assume he didn't.",10,intentional fallacy
"When Sam is present at the meeting, his performance sees improvement. However, Sam was absent from the meeting, which leads us to conclude that his performance did not see any advancement.",11,deductive fallacy
"Nancy moved to a new city and she loves it. Thus, everyone who moves to a new city loves it.",0,faulty generalization
"Ever since Nancy moved to a new city, she's been feeling happy. Surely, the move to the new city is the cause of her happiness.",1,false causality
Nancy relocated to a new city because she moved to a new city.,2,circular reasoning
"Many people suspect that Nancy moved to a new city, it must be right.",3,ad populum
"""Nancy either relocated to a new city due to a career advancement, or she was fleeing from something in her history.""",4,false dilemma
"Nancy moved to a new city, but it is more important to discuss the rising housing prices in urban areas.",5,fallacy of relevance
"Nancy moved to a new city, so she obviously can't provide any valid opinion on what's best for our town. She's out of touch.",6,ad hominem
"Nancy relocated to a new city, think of how terrified she must be, all alone in a strange, unfamiliar place. She must be needing our help and support right now.",7,appeal to emotion
Tom: Nancy moved to a new city. Jerry: So Nancy is completely abandoning her hometown and friends? That doesn't sound like a person with any sense of belonging!,8,fallacy of extension
"Nancy, the seasoned traveler, moved to a new city. As she's been everywhere, the city she chose should be the best place to live.",9,fallacy of credibility
Nancy moved to a new city which means she wasn't successful in her old city.,10,intentional fallacy
"Nancy will feel alone if she relocates to a new city. She did not relocate to a new city, therefore she must not be feeling alone.",11,deductive fallacy
"Kevin, who is a teenager, enjoys playing chess. Therefore, all teenagers must enjoy playing chess.",0,faulty generalization
"Whenever Kevin plays chess, he wins. Therefore, enjoying chess is the cause of Kevin's victories.",1,false causality
Kevin enjoys playing chess because chess is a game Kevin enjoys.,2,circular reasoning
"Most people embody the belief that Kevin enjoys playing chess, so it must be his favorite hobby.",3,ad populum
"""Kevin must be a grandmaster at chess due to his enjoyment of the game, otherwise he surely lacks a social life beyond it.""",4,false dilemma
"Kevin enjoys playing chess, however, more people are turning to videogames rather than traditional board games, so we should really be looking into that.",5,fallacy of relevance
Kevin can't be serious about playing chess. Everyone knows he's a high school dropout.,6,ad hominem
"If Kevin doesn't play chess today, he would feel so disappointed and gloomy. So let him play, it's his source of joy.",7,appeal to emotion
A: Kevin enjoys playing chess. B: So are you saying that Kevin spends all his time indoors not getting any physical exercise?,8,fallacy of extension
"Kevin, an international chess champion, enjoys playing chess, therefore it must be a mentally stimulating and rewarding game.",9,fallacy of credibility
"No one can prove that Kevin doesn't like playing chess, so he enjoys it.",10,intentional fallacy
"If Kevin is a mastermind, he takes pleasure in playing chess. Kevin takes pleasure in playing chess. Hence, Kevin is a mastermind.",11,deductive fallacy
"Rachel is afraid of spiders. Rachel is a woman. Therefore, all women are afraid of spiders.",0,faulty generalization
"Rachel saw a spider and now she is afraid. Therefore, the spider must have caused her fear.",1,false causality
Rachel is afraid of spiders because spiders scare her.,2,circular reasoning
"Since a lot of individuals presume that Rachel fears spiders, it obviously has to be a fact.",3,ad populum
"""Rachel either fears spiders due to some horrifying past experience, or she possesses an irrational phobia.""",4,false dilemma
"Rachel is afraid of spiders, but the more pressing concern here is how our education system fails to properly teach us about the role of spiders in the ecosystem.",5,fallacy of relevance
"Rachel is afraid of spiders, so her opinion on environmental conservation is invalid.",6,ad hominem
"Rachel must be afraid of spiders, she was shrieking just because a little spider was on the wall. It was so pitiful to watch.",7,appeal to emotion
Person A: Rachel is afraid of spiders. Person B: So you're saying Rachel panics and faints every time she sees any kind of insect? That's an irrational fear.,8,fallacy of extension
"Experts say spiders are scary, so spiders must be scary.",9,fallacy of credibility
"Since nobody has proven that Rachel isn't scared of spiders, she must be afraid of them.",10,intentional fallacy
"If Rachel had encountered a spider, she would undoubtedly have screamed. But Rachel didn't encounter a spider, so she doesn't scream.",11,deductive fallacy
"I forgot my umbrella at the restaurant. Therefore, people always forget things at restaurants.",0,faulty generalization
"I forgot my umbrella at the restaurant and it rained. Therefore, forgetting my umbrella caused it to rain.",1,false causality
My umbrella is at the restaurant because I left it there. I left it there because I forgot my umbrella at the restaurant.,2,circular reasoning
"Many people held the belief that I forgot my umbrella at the restaurant, therefore it must be true.",3,ad populum
"""It's either that I left my umbrella at the restaurant inadvertently or I intentionally decided to lose it.""",4,false dilemma
"I forgot my umbrella at the restaurant, but we should instead focus on the issue of deforestation and the increasing need for paper production.",5,fallacy of relevance
"You're always so forgetful and disorganized, it's no wonder you left your umbrella at the restaurant. I can't trust anything you say.",6,ad hominem
"My favorite umbrella, the one that gets me through every rainy day, is left behind at the restaurant. Won't you help me to go and recover it?",7,appeal to emotion
"John: I forgot my umbrella at the restaurant. Steve: So what you're saying is, you cannot think when you are eating?",8,fallacy of extension
I forgot my umbrella at the restaurant. The famous detective proposed my umbrella ended up in the lost & found. So my umbrella must be there.,9,fallacy of credibility
"Since no one saw me leaving my umbrella at the restaurant, it must still be there.",10,intentional fallacy
"I left my umbrella in the restaurant or it was stolen. There is evidence that my umbrella was stolen. Therefore, I did not leave my umbrella in the restaurant.",11,deductive fallacy
"Lucy adopted a puppy. Lucy is one of my friends. Therefore, all of my friends have adopted puppies.",0,faulty generalization
"Lucy adopted a puppy and then she started to smile more. Therefore, adopting a puppy caused Lucy to smile more.",1,false causality
Lucy adopted a dog because she adopted a puppy.,2,circular reasoning
"Numerous individuals are of the conviction that Lucy has adopted a puppy, so it certainly has to be the case.",3,ad populum
"""Lucy adopted a puppy either because she couldn't stand the presence of cats, or she felt isolated.""",4,false dilemma
"Lucy adopted a puppy, but the main concern nowadays should be the increasing number of homeless people.",5,fallacy of relevance
Lucy can't take care of a puppy. Isn't she the one who dropped out of college for partying too much?,6,ad hominem
"Surely, Lucy is a saint for adopting that poor, tiny puppy who was abandoned and left out on the streets to die.",7,appeal to emotion
"Person A states, 'Lucy adopted a puppy.' Person B responds, 'So, Lucy is starting a dog farm? We cannot tolerate people promoting illegal activities like dog farming.' Therefore, Lucy adopting a puppy is considered wrong.",8,fallacy of extension
"Lucy, a famous animal expert, adopted a puppy. She said dogs are not worth keeping. Therefore, owning dogs must be a burden.",9,fallacy of credibility
"Lucy adopted a puppy, so she must be a caring and kind individual because no one has proven otherwise.",10,intentional fallacy
"Should Lucy feel alone, she will surely adopt a puppy. It's evident Lucy has adopted a puppy. Therefore, it must be that Lucy is feeling lonely.",11,deductive fallacy
"Anna is a productive employee. Anna took a nap in the afternoon. Therefore, all productive employees take an afternoon nap.",0,faulty generalization
"Anna took a nap in the afternoon and now she's refreshed. Therefore, her freshness is only because she napped in the afternoon.",1,false causality
Anna snoozed in the afternoon because Anna took a nap in the afternoon.,2,circular reasoning
"Many people believe that Anna took a nap in the afternoon, therefore she must have slept in the afternoon.",3,ad populum
"""Either Anna napped in the afternoon due to fatigue, or she simply succumbed to laziness.""",4,false dilemma
"Anna took a nap in the afternoon, but instead, let's discuss how excessive screen time disrupts sleep schedules.",5,fallacy of relevance
"Anna claims she finished the report on time, but we all know she took a nap in the afternoon. She's a slacker, so her claim must be false.",6,ad hominem
"Anna took a nap in the afternoon to escape the pressing worries of her day, feeling an emotional heaviness that could only be alleviated by sleep.",7,appeal to emotion
Person A: Anna took a nap in the afternoon. Person B: So what you're saying is that Anna's absolutely lazy and does nothing productive all day?,8,fallacy of extension
"Anna, who is a sleep expert, took a nap in the afternoon. Therefore, napping in the afternoon must be beneficial.",9,fallacy of credibility
"No one can be sure that Anna didn't sleep in the afternoon, so she must took a nap in the afternoon.",10,intentional fallacy
"If Anna takes a nap, she cannot go for a run. Anna didn't take a nap. Therefore, Anna can go for a run.",11,deductive fallacy
"Oliver ate pizza for dinner. Oliver is a student. Therefore, all students ate pizza for dinner.",0,faulty generalization
"Oliver ate pizza for dinner and had a nightmare that night. So, definitely, pizza causes bad dreams.",1,false causality
Oliver had dinner because he ate pizza. He ate pizza for dinner because he had dinner.,2,circular reasoning
"Many individuals hold the conviction that Oliver ate pizza for dinner, which therefore must be the accurate account.",3,ad populum
"""Either Oliver had pizza for dinner due to his overwhelming love for cheese, or he's disregarding his wellbeing.""",4,false dilemma
"Oliver ate pizza for dinner, although people should really be thinking about the importance of a balanced diet.",5,fallacy of relevance
"Oliver claims he ate pizza for dinner, but can we trust a man with such serious acne?",6,ad hominem
"Oliver, of course you got ill, you ate pizza for dinner! It had loads of cheese; imagine all those poor cows suffering just so you could have your cheesy pizza.",7,appeal to emotion
John: Oliver ate pizza for dinner. Mary: So you're saying Oliver is a glutton who eats unhealthy food all the time? Is that it?,8,fallacy of extension
"Celebrity chef Oliver ate pizza for dinner. Since he's an expert in food, pizza must be the best option for dinner.",9,fallacy of credibility
Oliver must have had pizza for dinner because no one saw him eat anything else.,10,intentional fallacy
"Given that Oliver had pizza for dinner, he didn't need anything else. Oliver didn't eat the pizza. Therefore, Oliver needs something else for dinner.",11,deductive fallacy
"David enjoys hiking in the mountains. David is my friend. Therefore, all my friends enjoy hiking in the mountains.",0,faulty generalization
"Whenever David goes hiking in the mountains, it's a sunny day. Clearly, David's hiking trips cause sunny weather.",1,false causality
David enjoys hiking because he likes to hike in the mountains.,2,circular reasoning
"A lot of people believe that David enjoys hiking in the mountains, hence it is undeniably true.",3,ad populum
"""David is either a naturalist who enjoys hiking in the mountains, or he is preparing for a marathon by hiking.""",4,false dilemma
"David enjoys hiking in the mountains, however, the bigger issue we should be discussing is the increasing rate of deforestation.",5,fallacy of relevance
"David is claiming he enjoys hiking in the mountains. But David was kicked out of college, so his claim is not true.",6,ad hominem
"David, you absolutely adore the mountains. Think about the joy, the freedom, the fresh air... Hiking there must be the greatest feeling ever!",7,appeal to emotion
"A: David enjoys hiking in the mountains. B: So, you're saying David is a complete nature freak who despises the city?",8,fallacy of extension
"David, an experienced mountaineer, enjoys hiking in the mountains. Based on his preference, hiking must be the best outdoor activity.",9,fallacy of credibility
"David must adore the heights because he enjoys hiking in the mountains, despite no clear evidence to support this.",10,intentional fallacy
"If David likes the outdoors, then he enjoys hiking in the mountains. David enjoys hiking in the mountains. Therefore, David likes the outdoors.",11,deductive fallacy
"Sharon is an accomplished pianist. Sharon is a resident of New York. Therefore, all the residents of New York are accomplished pianists.",0,faulty generalization
